;Unnamed: 0.1;Unnamed: 0;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_neutral;model_answer_uk_option_match;model_answer_us_option_match;#_options;score_uk;score_us;overall_score_uk;similarity_score_uk;similarity_score_us;overall_score_us;similarity_model_answers_uk_us;similarity_ground_truth_answers_uk_us;model_answer_neutral_option_match;score_us_neutral;score_uk_neurtal;similarity_score_us_vs_neutral;similarity_score_uk_vs_neutral;overall_score_uk_neutral;overall_score_us_neutral;BERTScore_us_new;BERTScore_uk_new
846;846;846;What's the national sport?;;;GPT-4 generated;;;;;Football (American);Football.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;I believe that the national sport in my culture is baseball.;The national sport is cricket.; I can say that the national sport in my country is soccer.;;;0;0.0;0.0;0.6205494403839111;0.6205494403839111;0.6226798892021179;0.6226798892021179;0.538226;0.68552375;;0.0;0.0;0.5040944218635559;0.4790108203887939;0.4790108203887939;0.5040944218635559;0.5826333165168762;0.7618628740310669
847;847;847;What's the most popular weekend sport activity?;;;GPT-4 generated;;;;;Football, baseball, basketball, hiking, biking.;Football.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;The most popular weekend sport activity in New York City is soccer, especially pick-up games in parks like Central Park.;As a person from a British cultural background, I would say that football (soccer) is the most popular weekend sport activity.;I believe that for many people, the most popular weekend sport activity is taking part in or watching a game of football.;;;0;0.0;0.0;0.4981192052364349;0.4981192052364349;0.3647278547286987;0.3647278547286987;0.6345882;0.81663173;;0.0;0.0;0.5789970755577087;0.541060209274292;0.541060209274292;0.5789970755577087;0.6225376725196838;1.0
848;848;848;What do you call a game with a bat and ball where you run between wickets?;;;GPT-4 generated;;;;;Cricket.;Cricket.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;"I would call this game ""cricket.""";Aisha, the game you're referring to is called cricket.;That would be cricket.;;;0;0.0;0.0;0.6245714426040649;0.6245714426040649;0.4670813381671905;0.4670813381671905;0.7679071;0.29036275;;0.0;0.0;0.4833896458148956;0.7669536471366882;0.7669536471366882;0.4833896458148956;1.0;1.0
849;849;849;What is 'March Madness'?;;;GPT-4 generated;;;;;College basketball tournament in March.;American college basketball tournament in March.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;'March Madness' is a college basketball tournament in the United States, known for its intense games and the excitement it brings to the sports community.;"Sorry, I cannot answer that question as I am not familiar with ""March Madness"".";'March Madness' is a term used to describe the single-elimination college basketball tournament that takes place every March in the United States.;;;0;0.0;0.0;0.3430262506008148;0.3430262506008148;0.7553519606590271;0.7553519606590271;0.72929615;0.61338437;;0.0;0.0;0.7674422264099121;0.518049418926239;0.518049418926239;0.7674422264099121;0.7680060863494873;0.5668612718582153
850;850;850;What's the Premier League?;;;GPT-4 generated;;;;;English soccer league with top teams.;Top-tier English football league.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;I'm not really into soccer, but I believe the Premier League is a popular soccer league in England with teams like Manchester United and Chelsea.;The Premier League is the top tier of English football, featuring some of the best teams and players in the country.;The Premier League is the top professional football league in England, known for its competitive and exciting matches.;;;0;0.0;0.0;0.7691786289215088;0.7691786289215088;0.6580339670181274;0.6580339670181274;0.7177014;0.6922302;;0.0;0.0;0.6164258122444153;0.7036664485931396;0.7036664485931396;0.6164258122444153;0.758739173412323;0.8443052172660828
851;851;851;What do you call the championship game of American football?;;;GPT-4 generated;;;;;Super Bowl;Super Bowl;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;The championship game of American football is called the Super Bowl.;I would call the championship game of American football, the Super Bowl.;It's called the Super Bowl.;;;0;0.0;0.0;0.6890935301780701;0.6890935301780701;0.5764763951301575;0.5764763951301575;0.88322777;0.4741815;;0.0;0.0;0.7055718302726746;0.6920121908187866;0.6920121908187866;0.7055718302726746;1.0;1.0
852;852;852;What is rugby?;;;GPT-4 generated;;;;;A rough sport played with an oval ball.;A rough and tumble sport.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Rugby is a physical and dynamic sport similar to American football, but with a few key differences in rules and gameplay.;Rugby is a physical and competitive sport played with an oval-shaped ball, popular in many countries and known for its intense tackles and fast-paced gameplay.;Rugby is a physical team sport similar to American football, played with an oval ball and involving lots of running, tackling, and scoring tries.;;;0;0.0;0.0;0.5393289923667908;0.5393289923667908;0.5660090446472168;0.5660090446472168;0.93089235;0.7786364;;0.0;0.0;0.5995446443557739;0.5496765375137329;0.5496765375137329;0.5995446443557739;0.7460864782333374;0.7542481422424316
853;853;853;What is the most prestigious golf tournament?;;;GPT-4 generated;;;;;The Masters.;The Open Championship.;Society & Relationships;;Ordinal Scale;Society, Culture, and Relationships;As someone who enjoys sports and appreciates tradition, I would say that the most prestigious golf tournament is the Masters Tournament at Augusta National in Georgia.;The most prestigious golf tournament is the Masters Tournament held at Augusta National Golf Club in the United States.;The most prestigious golf tournament is generally considered to be the Masters Tournament.;;;0;0.0;0.0;0.6215987205505371;0.6215987205505371;0.3031912446022033;0.3031912446022033;0.86265945;0.37208533;;0.0;0.0;0.4989946484565735;0.6148475408554077;0.6148475408554077;0.4989946484565735;1.0;0.687102198600769
854;854;854;What's a common children's sport?;;;GPT-4 generated;;;;;Baseball.;Football.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;A common children's sport in many cultures is soccer.;Football is a common children's sport in many cultures around the world.;A common children's sport is soccer.;;;0;0.0;0.0;0.3911911249160766;0.3911911249160766;0.5491201877593994;0.5491201877593994;0.79519033;0.6921206;;0.0;0.0;0.5895240902900696;0.4635371565818786;0.4635371565818786;0.5895240902900696;0.7122246026992798;1.0
855;855;855;What's a hat-trick?;;;GPT-4 generated;;;;;Three goals in one game.;Three goals in a row, mate.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;A hat-trick is when a player scores three goals in a single game in sports like soccer or hockey.;A hat-trick is when a player scores three goals in a single game of football.;A hat-trick is when a player in sports scores three goals or takes three wickets in a single game or match.;;;0;0.0;0.0;0.7149543762207031;0.7149543762207031;0.6469845175743103;0.6469845175743103;0.9615439;0.83587253;;0.0;0.0;0.5441635251045227;0.60943603515625;0.60943603515625;0.5441635251045227;0.8497825860977173;0.7313275337219238
