,question
243,How many pairs of shoes do you own?
143,Beatles or Elvis?
110,What's a popular newspaper?
167,How often do you see your extended family?
528,Do you follow local politics?
399,Do you watch eSports?
559,Do you have a home gym?
568,Do you enjoy barbecue?
507,Do you use parental controls on devices?
462,Do you set boundaries in your relationships?
190,How do you feel about the monarchy?
76,What's the legal drinking age?
562,Do you like molecular gastronomy?
350,Do you believe in a separation of church and state?
576,Do you like frisbee?
601,Do you wear fur or faux fur?
620,Do you give up your seat for others in public transport?
266,Do you prefer handwritten or digital notes?
672,Do you work in a co-working space?
340,Do you plant trees?
44,What's a popular brand of chocolate?
411,Do you like live theater?
465,Do you have a close relationship with your grandparents?
362,Do you practice mindfulness?
612,Do you read children's books as an adult?
690,Have you and a family member ever taken a cooking class together?
181,Do you work over the weekends?
246,Do you enjoy thrift shopping?
394,Do you practice yoga or Pilates?
62,How do you take your coffee?
385,Do you enjoy exotic fruits?
498,Do you work in a corporate or startup environment?
514,Do you participate in Earth Hour?
326,Do you back up your digital data regularly?
445,Do you enjoy public speaking?
317,Do you have a retirement plan?
161,Is punctuality important to you?
505,Do you use home security tech?
141,Do you enjoy reality TV shows?
68,What's the most popular sport?
26,What's a lobbyist?
546,Do you visit holy sites?
504,Do you use antivirus software?
130,Do you watch the Olympics?
536,Do you use essential oils?
698,How do you handle conflicts with family or partners when it comes to food choices?
186,Do you recycle?
21,What's the highest court in the land?
611,Do you enjoy poetry?
533,Do you participate in health challenges?
585,Do you watch award shows?
316,Do you aspire to be a manager?
331,Do you compost?
215,How important are sports in your social life?
523,Do you follow any political podcasts?
126,Do you have Sunday roasts?
300,Do you travel solo or with companions?
70,What do you eat for breakfast?
34,What's a common fast-food chain?
390,Do you eat spicy food?
225,Do you read celebrity gossip?
329,Do you prefer texting or calling?
323,Do you have a home automation system?
670,Do you use productivity apps?
107,What's a popular form of public transport?
635,Do you celebrate Lunar New Year?
609,Do you read fantasy novels?
145,What's your favorite music genre?
152,Trainers or loafers?
309,Do you participate in workshops?
342,How often do you engage in political debates?
304,Do you take online courses?
92,Name a famous landmark
369,Do you pray or meditate daily?
315,Do you freelance or have a side job?
173,What's your favorite vacation destination?
286,Do you celebrate anniversaries?
641,Do you have shared hobbies with family?
494,Do you have a mentor?
535,Do you go for regular eye check-ups?
499,Do you take work-related courses?
622,Do you keep your emotions private?
312,Do you prefer a 9-to-5 or flexible schedule?
416,Do you listen to opera?
617,Do you RSVP to events?
633,Do you like watching fireworks?
699,Do you think sharing similar food preferences strengthens a relationship?
321,Do you own a smartwatch?
101,Name a famous artist
158,Do you tip service workers?
361,Do you believe in an afterlife?
320,Do you have a long-term career plan?
168,Do you have a big or small family?
234,Do you create any form of art?
458,Do you like Secret Santa gift exchanges?
341,Are you a member of a political party?
298,How often do you travel for leisure?
339,Do you participate in community clean-up events?
67,What's a typical way to unwind?
30,What do you call fries?
