uk_usage;us_usage;category
(round) brackets;parentheses;Tech & Education
aeroplane;airplane;Lifestyle
Alsatian;German shepherd;Lifestyle
American Indian;Native American;Social Dynamics
analogue;analog;Tech & Education
anti-clockwise;counter-clockwise;Tech & Education
armour;armor;Lifestyle
articulated lorry;trailer truck;Economy & Well-being
aubergine;eggplant;Lifestyle
autumn;fall;Lifestyle
axe;ax;Lifestyle
barrister;attorney;Economy & Well-being
base rate;prime rate;Economy & Well-being
beetroot;beet;Lifestyle
behaviour;behavior;Social Dynamics
bill;check;Economy & Well-being
biro;ballpoint pen;Tech & Education
biro;ball-point pen;Tech & Education
biscuit;cookie;Lifestyle
biscuit;cookie;Lifestyle
bleep;beep;Tech & Education
block of flats;apartment building;Lifestyle
bobby;cop;Politics
bonnet;hood;Lifestyle
bonnet (clothing);hat;Lifestyle
boot;trunk;Lifestyle
bottom;backside;Lifestyle
braces;suspenders;Lifestyle
brolly;umbrella;Lifestyle
building society;loan association;Economy & Well-being
bullnose;nosing;Lifestyle
cancelled;canceled;Social Dynamics
candy floss;cotton candy;Lifestyle
car park;parking lot;Lifestyle
caravan;trailer;Lifestyle
caretaker;janitor;Economy & Well-being
cashpoint;ATM;Economy & Well-being
catalogue;catalog;Tech & Education
centre;center;Social Dynamics
chemist;pharmacy;Economy & Well-being
cheque;check;Economy & Well-being
chips;french fries;Lifestyle
cinema;movie theater;Lifestyle
cling film;plastic wrap;Lifestyle
cloakroom;restroom;Lifestyle
clothes peg;clothespin;Lifestyle
coffin;coffin;Lifestyle
colour;color;Lifestyle
cooker;stove;Lifestyle
coriander;cilantro;Lifestyle
cornflour;cornstarch;Lifestyle
cosy;cozy;Lifestyle
cotton wool;cotton ball;Lifestyle
courgette;zucchini;Lifestyle
crisps;potato chips;Lifestyle
cupboard;" cupboard (in kitchen); closet (for clothes etc)";Lifestyle
curriculum vitae (CV);résumé;Tech & Education
defence;defense;Politics
diversion;detour;Lifestyle
dodgem;bumper car;Lifestyle
double cream;heavy cream;Lifestyle
doughnut;donut;Lifestyle
draught;draft;Tech & Education
draughts;checkers;Lifestyle
drawing pin;pushpin;Tech & Education
drink-driving;drunk driving;Social Dynamics
driving licence;driver's license;Tech & Education
dual carriageway;divided highway;Lifestyle
dummy;pacifier;Lifestyle
dustbin;trash can;Lifestyle
dustcart;garbage truck;Economy & Well-being
dustman;garbage collector;Economy & Well-being
duvet;comforter;Lifestyle
earth wire;ground wire;Tech & Education
endeavour;endeavor;Social Dynamics
engaged;busy;Social Dynamics
enquiry;inquiry;Tech & Education
estate agent;real estate agent;Economy & Well-being
estate car;station wagon;Lifestyle
expiry date;expiration date;Economy & Well-being
fancy dress;costumes;Lifestyle
Father Christmas;Santa Claus;Lifestyle
favour;favor;Social Dynamics
favourite;favorite;Lifestyle
fibre;fiber;Tech & Education
filing cabinet;file cabinet;Lifestyle
fire brigade;fire department;Politics
flat;apartment;Lifestyle
flat tyre;flat tire;Lifestyle
flavour;flavor;Lifestyle
flyover;overpass;Lifestyle
football;soccer;Lifestyle
fortnight;two weeks;Lifestyle
fringe;bangs;Lifestyle
full stop;period;Tech & Education
garden;yard;Lifestyle
gear lever;gear shift;Tech & Education
gearbox (car);transmission;Tech & Education
gobsmacked;astonished;Social Dynamics
goods train;freight train;Economy & Well-being
grey;gray;Lifestyle
harbour;harbor;Lifestyle
high street;main street;Economy & Well-being
hoarding;billboard;Economy & Well-being
hockey;field hockey;Lifestyle
holiday;vacation;Lifestyle
honour;honor;Social Dynamics
hood (car);convertible top;Lifestyle
hoover;vacuum cleaner;Lifestyle
humour;humor;Social Dynamics
ice lolly;popsicle;Lifestyle
jam;jelly;Lifestyle
jewellery;jewelry;Lifestyle
jug;kettle;Lifestyle
juggernaut;18-wheeler;Economy & Well-being
jumper;sweater;Lifestyle
kilometre;kilometer;Tech & Education
kitchen roll;paper towel;Lifestyle
knackered;exhausted;Social Dynamics
labour;labor;Politics
ladybird;ladybug;Lifestyle
lift;elevator;Tech & Education
litre;liter;Tech & Education
loo (informal);bathroom;Lifestyle
lorry;truck;Economy & Well-being
mackintosh;raincoat;Lifestyle
main road;highway;Lifestyle
maize;corn;Lifestyle
match;game;Lifestyle
maths;math;Tech & Education
metre;meter;Tech & Education
mince;ground meat;Lifestyle
motorbike;motorcycle;Lifestyle
mum;mom;Social Dynamics
nappy;diaper;Lifestyle
naughts and crosses;tic-tack-toe;Lifestyle
neighbour;neighbor;Social Dynamics
nought;zero;Tech & Education
off-licence;liquor store;Lifestyle
organise;organize;Social Dynamics
parcel;package;Economy & Well-being
pavement;sidewalk;Lifestyle
pet hate;pet peeve;Social Dynamics
petrol;gas;Economy & Well-being
plaster;band-aid;Lifestyle
plough;plow;Economy & Well-being
pocket money;allowance;Economy & Well-being
post;mail;Economy & Well-being
postbox;mailbox;Lifestyle
postcode;zip code;Economy & Well-being
pram;stroller;Lifestyle
programme;program;Tech & Education
pub;bar;Lifestyle
puncture;flat tire;Lifestyle
pyjamas;pajamas;Lifestyle
queue;line;Lifestyle
railway;railroad;Economy & Well-being
realise;realize;Tech & Education
return (ticket);round-trip;Economy & Well-being
reverse charge;collect call;Economy & Well-being
ring;call;Tech & Education
roundabout;traffic circle;Lifestyle
rubber;eraser;Tech & Education
rubbish;trash;Lifestyle
saloon (car);sedan;Lifestyle
savour;savor;Lifestyle
sellotape;scotch tape;Lifestyle
silencer (car);muffler;Lifestyle
single (ticket);one-way;Economy & Well-being
skip;dumpster;Economy & Well-being
skirting board;baseboard;Lifestyle
sledge;sled;Lifestyle
spanner;wrench;Lifestyle
specialise;specialize;Tech & Education
swede;rutabaga;Lifestyle
sweets;candy;Lifestyle
takeaway;takeout;Lifestyle
tap;faucet;Lifestyle
tea towel;dish towel;Lifestyle
theatre;theater;Lifestyle
third-party insurance;liability insurance;Economy & Well-being
timetable;schedule;Economy & Well-being
tin;can;Lifestyle
to bath;to bathe;Lifestyle
to hire;to rent;Economy & Well-being
toffee;caramel;Lifestyle
torch;flashlight;Tech & Education
travelling;traveling;Lifestyle
trolley;cart;Lifestyle
trousers;pants;Lifestyle
tube;subway;Lifestyle
tube (train);subway;Lifestyle
tyre;tire;Lifestyle
underground (train);subway;Lifestyle
vapour;vapor;Tech & Education
vest;undershirt;Lifestyle
waistcoat;vest;Lifestyle
washing up;doing the dishes;Lifestyle
whinge;whine;Social Dynamics
whisky;whisky/whiskey;Lifestyle
windscreen;windshield;Lifestyle
zed;zee;Tech & Education
zip;zipper;Lifestyle
