,index,statement_id,label,statement,subject,speaker,speaker_job_title,state_info,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,extracted_justification
21,22,4778.json,true,Georgia has had ʺmore bank failures than any other state.ʺ,bankruptcy,lynn-westmoreland,,,republican,1.0,1.0,3.0,0.0,0.0,a meeting,"The banks in Georgia lost less than Florida and other states such as California. Those failed Georgia banks had fewer assets than those in California, Florida and Illinois. Westmoreland was not talking about the size of those bank failures when he spoke in Coweta County. The congressman said bank failures."
35,36,3221.json,true,"In the month of January, Canada created more new jobs than we did.","economy,workers",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,a speech to the Conservative Political Action Conference,"In November 2010, the U. S.  economy created 93,000 jobs, compared to 15,200 for Canada. And in December 2010, the U. S.  created 121,000 jobs, compared to 22,000 for Canada. But on a per capita basis, in recent months U. S.  job creation exceeded Canada's only in October. January happened to be a month when U. S.  job creation was especially low and Canadian job creation was especially high, but it is the most recent month and it reflects the general pattern when you account for population."
41,42,1831.json,true,"Bill McCollumhas ""recovered $200 million in Medicaid fraud.""","elections,florida,job-accomplishments,message-machine",jeb-bush,,Florida,republican,17.0,5.0,17.0,24.0,2.0,a campaign commercial for Bill McCollum,"The list of 153 cases includes settlements that reach into the millions, like $32 million to be paid by pharmeceutical giant Eli Lilly, andsmaller sums like $50,000 to be paid by Hialeah physician Ausberto B.  Hidalgo. Adding up the itemized list, the sum is actually $203 million. So Bush is almost on the money. We should note that the Medicaid Fraud Control Unit has been around since way before McCollum became attorney general. The unit started under the auditor general's office, but in July 1994 it was moved under the Attorney General's Office as a way to police the state's burgeoning Medicaid program."
48,49,4534.json,true,"Were. . . keeping and creating jobs in our state. From American Greetings, to Wendys, to Diebold, weve gone to their doorsteps to keep jobs right here in Ohio.","economy,job-accomplishments,jobs",john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9.0,8.0,10.0,18.0,3.0,an ad from the Republican Governors Association,"Company  Jobs Created  Jobs Retained         Bob Evans         150          360          American Greetings         0          1,750          Diebold         0          1,500          Mitec         88          0          Janova         116          38          Johnson Controls         50          400          Dannon         100          453          Wendys         53          388          Chrysler (Perrysburg plant)          0          640     Total   557    5,529         The numbers backup the statement. Kasich did not offer a tally for his job creation and retention record, or take credit for all job growth in the state. Rather, he offered up a general statement about efforts in his administration that have yielded some results."
50,51,3320.json,true,"From 2003 to 2006, Sesame Street made more than $211 million from toy and consumer product sales.","children,federal-budget",jim-demint,"President, Heritage Foundation",South Carolina,republican,4.0,4.0,0.0,0.0,1.0,a blog post,"It seems unlikely that cutting federal funds would spell the end of Sesame Street, though some argue it might cause the demise of some small, rural stations that carry Sesame Street. Still, as its own tax filings show, Sesame Street makes a lot of its revenue from non-government sources,much of it through the sale of toys and other consumer products. Toy revenue is just a portion of Sesame Street's budget and federal funding for Sesame Street is just a portion of the overall issue of federal funding for public broadcasting. But DeMint's figures on Sesame Street toy revenues are right."
111,112,6470.json,true,Says a Republican hasnt won [an election] for a presidency in New Jersey since 1988.,"elections,states",chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,a news conference,"Christie said ""a Republican hasn't won [an election] for a presidency in New Jersey since 1988. ""When Bush took on Dukakis in 1988, a majority of New Jersey voters cast a ballot for the Republican candidate, helping send Bush to the White House. But four years later, the tide turned in New Jersey and the state has voted Democratic in every presidential election since."
115,116,7713.json,true,"Despite having their budget increased by over 40 percent since 2009 pending claims for benefits with the (Department of Veterans Affairs) have increased from 391,000 to 890,000 under the Obama Administration.",veterans,tom-graves,,,republican,1.0,0.0,5.0,0.0,1.0,a ZPolitics op-ed,"In sum, Graves numbers are correct. Graves also was accurate in noting that the increase took place under the presidents watch. While the VAs benefits system has been troubled since well before Obama took office, efforts during his administration have not prepared the department for its current challenges."
130,131,3309.json,true,The cost for renovating the headquarters of the U.N. has doubled from the original estimate.,federal-budget,cliff-stearns,U.S. representative,Florida,republican,0.0,0.0,2.0,1.0,0.0,a press release,"The project is now being overseen by New York architect Michael Adlerstein, who joined other U. N.  officials for a ceremonial ground-breakingon May 5, 2008. Since then, more than 4,700 employees have been shuffled around to temporary offices being leased throughout New York City. The restoration is expected to be completed by 2013, according to the U. N's website. From an original price estimate of $953 million to a project now reaching close to $2 billion, Stearns is correct in noting the costs of the U. N.  renovations have doubled."
135,136,3927.json,true,The budget currently being debated significantly decreases the use of one-time resources.,state-budget,ron-amstutz,State representative,Ohio,republican,0.0,0.0,0.0,1.0,0.0,a newspaper column,"Again, he says the state is relying on $1. 2 billion in one-time money in the first year of the proposed budget, which is pretty darn close to $1. 16 billion. And, as he says, the budget eliminates in the second year all one-time money except $100 million. Though debate still exists over the exact figure of one-time money used in the last budget cycle, the level of one-time money used was unprecedented and is clearly far greater than what is proposed in the new budget. Amstutz statement is accurate and theres nothing significantly missing for a full understanding."
138,139,13322.json,true,"Says Ted Strickland in this campaign bragged about his A-plus rating with the NRA. ... He has said he has a mixed and spotty record on this issue and that he can be criticized for it. Those are his words, not mine. So I dont know where he is on this issue.",guns,rob-portman,U.S. senator from Ohio,Ohio,republican,3.0,5.0,11.0,11.0,1.0,the Ohio Senate debate,"Portman said Strickland ""in this campaign bragged about his A-plus rating with the NRA. He has (also) said he has a mixed and spotty record on this issue and that he can be criticized for it. ""At the debate, Portman framed the quote in the proper context about guns."
