;Unnamed: 0;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_neutral;BERTScore_us_new;BERTScore_uk_new;BERTScore_us_uk_new;BERTScore_model_answers
0;0;What's the national sport?;;;GPT-4 generated;;;;;Football (American);Football.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Baseball is the national sport.;Football.; I can say that the national sport in my country is soccer.;0.5813660025596619;1.0;1.0;0.5980818271636963
1;1;What's the most popular weekend sport activity?;;;GPT-4 generated;;;;;Football, baseball, basketball, hiking, biking.;Football.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Soccer is the most popular activity.;Football.;I believe that for many people, the most popular weekend sport activity is taking part in or watching a game of football.;0.6050251722335815;1.0;1.0;0.5533774495124817
2;2;What do you call a game with a bat and ball where you run between wickets?;;;GPT-4 generated;;;;;Cricket.;Cricket.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Cricket.;Cricket.;That would be cricket.;1.0;1.0;1.0;1.0
3;3;What is 'March Madness'?;;;GPT-4 generated;;;;;College basketball tournament in March.;American college basketball tournament in March.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;College basketball tournament in the US.;Basketball tournament in the United States.;'March Madness' is a term used to describe the single-elimination college basketball tournament that takes place every March in the United States.;0.8385217189788818;0.7530190348625183;0.9582775831222534;0.9182983040809631
4;4;What's the Premier League?;;;GPT-4 generated;;;;;English soccer league with top teams.;Top-tier English football league.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;English soccer league with top teams.;Top-tier English football league.;The Premier League is the top professional football league in England, known for its competitive and exciting matches.;0.9999998211860656;1.0000001192092896;0.7788649797439575;0.7788649797439575
5;5;What do you call the championship game of American football?;;;GPT-4 generated;;;;;Super Bowl;Super Bowl;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Super Bowl.;Super Bowl.;It's called the Super Bowl.;1.0;1.0;1.0;1.0
6;6;What is rugby?;;;GPT-4 generated;;;;;A rough sport played with an oval ball.;A rough and tumble sport.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;A physical team sport with an oval ball.;Rugby is a physical team sport.;Rugby is a physical team sport similar to American football, played with an oval ball and involving lots of running, tackling, and scoring tries.;0.9292017221450806;0.7851992249488831;0.7649688124656677;0.7669811248779297
7;7;What is the most prestigious golf tournament?;;;GPT-4 generated;;;;;The Masters.;The Open Championship.;Society & Relationships;;Ordinal Scale;Society, Culture, and Relationships;The Masters.;The Masters Tournament.;The most prestigious golf tournament is generally considered to be the Masters Tournament.;1.0;0.8685888648033142;1.0;1.0
8;8;What's a common children's sport?;;;GPT-4 generated;;;;;Baseball.;Football.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Baseball.;Football.;A common children's sport is soccer.;1.0;1.0;0.8350265026092529;0.8350265026092529
9;9;What's a hat-trick?;;;GPT-4 generated;;;;;Three goals in one game.;Three goals in a row, mate.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;A hat-trick is scoring three goals.;Three goals scored by one player.;A hat-trick is when a player in sports scores three goals or takes three wickets in a single game or match.;0.7360928058624268;0.7389370203018188;0.8015226721763611;0.6406973600387573
10;10;What's a typical sports drink?;;;GPT-4 generated;;;;;Gatorade.;Isotonic electrolyte beverage, like Lucozade Sport.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Gatorade or Powerade.;Energy drink with electrolytes and carbohydrates.;A typical sports drink is a beverage that contains electrolytes, carbohydrates, and fluids, designed to hydrate and replenish energy during or after physical activity.;1.0;0.5987331867218018;0.7627952098846436;0.6771169304847717
11;11;What do you call athletic footwear?;;;GPT-4 generated;;;;;Sneakers or tennis shoes.;Trainers.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Sneakers or tennis shoes.;Trainers or sports shoes.;I call athletic footwear sneakers or trainers.;0.9999998807907104;1.0;0.5247412323951721;0.8165577054023743
