,index,statement_id,label,statement,subject,speaker,speaker_job_title,state_info,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,extracted_justification
5,6,6861.json,true,Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom.,"education,state-budget",andy-berke,Lawyer and state senator,Tennessee,democrat,0.0,0.0,0.0,0.0,0.0,a letter to state Senate education committee chairwoman Dolores Gresham.,"However, even Huffman, who is very sympathetic to the ""school choice"" movement, has criticized K12s performance, telling the Chattanooga Times-Free Press, ""Its performance is demonstrably poor. ""As Roberts pointed out in her piece, the National Education Policy Center last year released a report that was critical of K12, finding that the on-time graduation rate for K12 was 49. 1 percent compared to 79. 4 percent average in the states where K12 operates schools. Our ruling   One of the states leading critics of aggressive ""school choice"" reforms said the state is sending millions of dollars to a virtual-school company but getting results that are ""at the bottom of the bottom. ""The numbers back him up."
7,8,13138.json,true,Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.,"candidates-biography,diversity,housing",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,the first presidential debate,"Clinton said that Trump ""started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans. ""Both parts of the statement are carefully worded and accurate. The Justice Department sued Trump, his father and their company under the Civil Rights Act in 1973. In many instances, the government said, prospective black tenants were blocked from renting in his buildings. The case was settled and Trump never admitted guilt, though his company had to agree to stipulations meant to prevent future discrimination at his rental properties."
12,13,4809.json,true,"The median income of a middle class family went down $2,100 from 2001 to 2007.","income,new-hampshire-2012",joe-biden,U.S. senator,Delaware,democrat,11.0,10.0,21.0,16.0,4.0,speaking at New Hampshire’s Plymouth State University,"""Clearly median inflation adjusted income fell much faster during the recession (2007 to present),"" Delay said. ""But the fall in that indicator during a period of economic expansion (2000 to 2007) is very troubling. I dont believe any other period of economic expansion saw a commensurate decline in median inflation adjusted income. ""Our ruling:    Vice President Biden said the median income of the middle class dropped by $2,100 from 2001-07, and the numbers check out."
44,45,8913.json,true,"Over 3 million Americans are employed in the growing green-collar workforce, which is more than the number of people working in the fossil fuel industry.","economy,energy,environment,jobs,transportation",tammy-baldwin,U.S. Representative,Wisconsin,democrat,5.0,5.0,7.0,4.0,0.0,a news release,"Our rating Baldwin said: ""Over 3 million Americans are employed in the growing green-collar workforce,"" which is more than the number ""of people working in the fossil fuel industry. ""The latest estimates are for 2011. The federal government says there were 3. 4 million green jobs, while a national oil and gas trade group says there were 2. 59 million oil and gas jobs."
78,79,2159.json,true,Jeff Greene can buy anything ... he owns two mansions.,"candidates-biography,elections,message-machine",kendrick-meek,,Florida,democrat,2.0,6.0,1.0,4.0,1.0,a TV ad.,"That's the same yacht that tore up a coral reef in Belize, by the way. In Kendrick Meek's second TV ad, he uses pictures of two homes and labels them ""Mansion"" and ""Mansion 2"" to help illustrate rival Jeff Greene's personal fortune. We wanted to know if those images were real or simply placeholders. Turns out, what you see is what you get."
103,104,1026.json,true,"The reality is, we are holding some of the most dangerous terrorists in the world right now in our federal prisons, including the mastermind of the 1993 World Trade Center bombing, the 'shoe bomber,' the 'Unabomber,' and many others.",terrorism,richard-durbin,Senator,Illinois,democrat,0.0,2.0,1.0,0.0,1.0,a speech on the Senate floor.,"Democrats such as Durbin say facilities like the one in Florence are well-suited for detainees from Guantanamo Bay. ""Some of my Republican colleagues argued that Guantanamo is the only appropriate place to hold the detainees because 'we dont have a facility that could handle this in the United States' and American corrections officers would 'have no idea what they are getting into,'"" Durbin said. ""They ought to take a look at some of our secured facilities in the United States and they ought to have a little more respect for the men and women who are corrections officers."
108,109,4702.json,true,"Says for every dollar the state spent on audits last year, it delivered $64 in cost savings.",government-efficiency,kate-brown,Secretary of State,Oregon,democrat,1.0,0.0,0.0,0.0,0.0,a speech at the Oregon Summit.,"But back to the ruling statement. Brown said that for every dollar the Secretary of State spent on audits last year, it found $64 in cost savings. Her office has the figures to back this up, and, if anything, it seems like they might be underestimating the total potential savings."
119,120,10373.json,true,"After World War II, we tried, convicted, and, in some cases, executed Japanese soldiers for war crimes that included charges of waterboarding.","history,terrorism",bobby-scott,U.S. Congressman,Virginia,democrat,1.0,2.0,1.0,5.0,0.0,a news release.,"Scott said that after World War II, the U. S.  tried, convicted, and in some cases executed Japanese soldiers for war crimes that included waterboarding. Theres little doubt that the U. S.  tried and convicted Japanese soldiers for waterboarding. Six Japanese generals who allowed water torture were executed, although we note they faced a long list of additional charges. Scott qualified his statement to make clear he was referring to executed Japanese military members who faced a variety of war crime charges, including waterboarding, not that they were sentenced to death solely for that offense."
132,133,1488.json,true,There have been three people tried and convicted by the last administration in military courts. Two are walking the street right now.,"crime,homeland-security,legal-issues,military,terrorism",joe-biden,U.S. senator,Delaware,democrat,11.0,10.0,21.0,16.0,4.0,"an interview on ""Face the Nation""","""It is more than a little rich for the very people who moved heaven and earth to prevent the commissions from being completed now complain that we didn't complete very many commissions,"" McCarthy said. In the interview on Face the Nation, Biden said he believed traditional federal courts would provide the longest sentences to terrorists, based on their track record of convictions. ""The debate on military commissions versus federal courts will no doubt continue. Here, we're checking Biden's statement that three people had been tried and convicted by the last administration in military courts, and that two are ""walking the street right now."
144,145,1701.json,true,I never had a filibuster-proof Senate.,"bipartisanship,health-care,supreme-court,abc-news-week",bill-clinton,former president,Arkansas,democrat,4.0,2.0,12.0,11.0,3.0,an interview on ABC's 'This Week',"We note that Democrats  at the time were also more fractured on which health care plan to support. But  Clinton is right that Republicans opposed his health care bill and clearly held  enough seats to attempt a filibuster in the Senate. It never got to  that. Still, that is one issue where Clinton had difficulty because he lacked a filibuster-proof majority (whereas Obama did have that advantage, at least for his first year)."
