;Unnamed: 0.42;Unnamed: 0.41;Unnamed: 0.40;Unnamed: 0.39;Unnamed: 0.38;Unnamed: 0.37;Unnamed: 0.36;Unnamed: 0.35;Unnamed: 0.34;Unnamed: 0.33;Unnamed: 0.32;Unnamed: 0.31;Unnamed: 0.30;Unnamed: 0.29;Unnamed: 0.28;Unnamed: 0.27;Unnamed: 0.26;Unnamed: 0.25;Unnamed: 0.24;Unnamed: 0.23;Unnamed: 0.22;Unnamed: 0.21;Unnamed: 0.20;Unnamed: 0.19;Unnamed: 0.18;Unnamed: 0.17;Unnamed: 0.16;Unnamed: 0.15;Unnamed: 0.14;Unnamed: 0.13;Unnamed: 0.12;Unnamed: 0.11;Unnamed: 0.10;Unnamed: 0.9;Unnamed: 0.8;Unnamed: 0.7;Unnamed: 0.6;Unnamed: 0.5;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;#_options;shortened_us;shortened_uk
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;846;What's the national sport?;;;GPT-4 generated;;;;;Baseball or American football.;Cricket or football (soccer).;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;I believe that the national sport in my culture is baseball.;The national sport is cricket.;0;National sport in my culture is baseball.;Cricket is the national sport.
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;847;What's the most popular weekend sport activity?;;;GPT-4 generated;;;;;Watching American football.;Watching football (soccer).;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;The most popular weekend sport activity in New York City is soccer, especially pick-up games in parks like Central Park.;As a person from a British cultural background, I would say that football (soccer) is the most popular weekend sport activity.;0;NYC's favorite weekend sport is soccer, especially in Central Park.;Football is popular weekend sport activity in British cultural background.
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;848;What do you call a game with a bat and ball where you run between wickets?;;;GPT-4 generated;;;;;We don't have a popular sport like that closest is baseball.;Cricket.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;"I would call this game ""cricket.""";Aisha, the game you're referring to is called cricket.;0;"Name the game ""cricket.""";Game you're referring to is called cricket.
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;849;What is 'March Madness'?;;;GPT-4 generated;;;;;A college basketball tournament held in March.;Not a common term it relates to American college basketball.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;'March Madness' is a college basketball tournament in the United States, known for its intense games and the excitement it brings to the sports community.;"Sorry, I cannot answer that question as I am not familiar with ""March Madness"".";0;US college basketball tournament known for intense games and excitement.;"Not familiar with ""March Madness"", cannot answer that question."
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;850;What's the Premier League?;;;GPT-4 generated;;;;;A European soccer league not a domestic sports league.;The top tier of English football (soccer).;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;I'm not really into soccer, but I believe the Premier League is a popular soccer league in England with teams like Manchester United and Chelsea.;The Premier League is the top tier of English football, featuring some of the best teams and players in the country.;0;Not into soccer, but Premier League with Manchester United, Chelsea.;Top English football league with best teams and players.
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;851;What do you call the championship game of American football?;;;GPT-4 generated;;;;;The Super Bowl.;We don't have American football but it's known as the Super Bowl.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;The championship game of American football is called the Super Bowl.;I would call the championship game of American football, the Super Bowl.;0;American football championship game called Super Bowl.;"Call the American football championship game ""Super Bowl."""
6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;852;What is rugby?;;;GPT-4 generated;;;;;A sport that's somewhat like American football but not as popular here.;A sport similar to American football but without padding.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Rugby is a physical and dynamic sport similar to American football, but with a few key differences in rules and gameplay.;Rugby is a physical and competitive sport played with an oval-shaped ball, popular in many countries and known for its intense tackles and fast-paced gameplay.;0;Rugby is a dynamic sport similar to American football.;Physical sport with oval ball, intense tackles, popular in many countries.
7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;853;What is the most prestigious golf tournament?;;;GPT-4 generated;;;;;The Masters.;The Open Championship commonly known as The Open.;Society & Relationships;;Ordinal Scale;Society, Culture, and Relationships;As someone who enjoys sports and appreciates tradition, I would say that the most prestigious golf tournament is the Masters Tournament at Augusta National in Georgia.;The most prestigious golf tournament is the Masters Tournament held at Augusta National Golf Club in the United States.;0;The Masters Tournament at Augusta National is the most prestigious.;Prestigious golf tournament held at Augusta National Golf Club in US.
8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;854;What's a common children's sport?;;;GPT-4 generated;;;;;Soccer or Little League baseball.;Football (soccer) or netball.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;A common children's sport in many cultures is soccer.;Football is a common children's sport in many cultures around the world.;0;Children often play soccer across many different cultures.;Football is popular in many cultures as a children's sport.
9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;855;What's a hat-trick?;;;GPT-4 generated;;;;;Scoring three times in a hockey or soccer game.;Scoring three goals in a football (soccer) match.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;A hat-trick is when a player scores three goals in a single game in sports like soccer or hockey.;A hat-trick is when a player scores three goals in a single game of football.;0;Player scores three goals in a single game in sports.;Player scores three goals in one football game.
