;Unnamed: 0.1;Unnamed: 0;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_neutral;model_answer_uk_option_match;model_answer_us_option_match;#_options;score_uk;score_us;overall_score_uk;similarity_score_uk;similarity_score_us;overall_score_us;similarity_model_answers_uk_us;similarity_ground_truth_answers_uk_us;model_answer_neutral_option_match;score_us_neutral;score_uk_neurtal;similarity_score_us_vs_neutral;similarity_score_uk_vs_neutral;overall_score_uk_neutral;overall_score_us_neutral;BERTScore_us_new;BERTScore_uk_new;BERTScore_us_uk_new
846;846;846;What's the national sport?;;;GPT-4 generated;;;;;Football (American);Football.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Baseball is the national sport.;Football.; I can say that the national sport in my country is soccer.;;;0;0.0;0.0;0.6205494403839111;0.6205494403839111;0.6226798892021179;0.6226798892021179;0.538226;0.68552375;;0.0;0.0;0.5040944218635559;0.4790108203887939;0.4790108203887939;0.5040944218635559;0.6372401714324951;1.0;0.8259711265563965
847;847;847;What's the most popular weekend sport activity?;;;GPT-4 generated;;;;;Football, baseball, basketball, hiking, biking.;Football.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Soccer is the most popular activity.;Football.;I believe that for many people, the most popular weekend sport activity is taking part in or watching a game of football.;;;0;0.0;0.0;0.4981192052364349;0.4981192052364349;0.3647278547286987;0.3647278547286987;0.6345882;0.81663173;;0.0;0.0;0.5789970755577087;0.541060209274292;0.541060209274292;0.5789970755577087;0.6327864527702332;1.0;0.8795466423034668
848;848;848;What do you call a game with a bat and ball where you run between wickets?;;;GPT-4 generated;;;;;Cricket.;Cricket.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Cricket.;Cricket.;That would be cricket.;;;0;0.0;0.0;0.6245714426040649;0.6245714426040649;0.4670813381671905;0.4670813381671905;0.7679071;0.29036275;;0.0;0.0;0.4833896458148956;0.7669536471366882;0.7669536471366882;0.4833896458148956;0.43605101108551025;1.0;0.43605101108551025
849;849;849;What is 'March Madness'?;;;GPT-4 generated;;;;;College basketball tournament in March.;American college basketball tournament in March.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;College basketball tournament in the US.;Basketball tournament in the United States.;'March Madness' is a term used to describe the single-elimination college basketball tournament that takes place every March in the United States.;;;0;0.0;0.0;0.3430262506008148;0.3430262506008148;0.7553519606590271;0.7553519606590271;0.72929615;0.61338437;;0.0;0.0;0.7674422264099121;0.518049418926239;0.518049418926239;0.7674422264099121;0.7944977879524231;0.6447303891181946;0.7200837135314941
850;850;850;What's the Premier League?;;;GPT-4 generated;;;;;English soccer league with top teams.;Top-tier English football league.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;English soccer league with top teams.;Top-tier English football league.;The Premier League is the top professional football league in England, known for its competitive and exciting matches.;;;0;0.0;0.0;0.7691786289215088;0.7691786289215088;0.6580339670181274;0.6580339670181274;0.7177014;0.6922302;;0.0;0.0;0.6164258122444153;0.7036664485931396;0.7036664485931396;0.6164258122444153;0.6880856156349182;0.7881694436073303;0.6515108346939087
851;851;851;What do you call the championship game of American football?;;;GPT-4 generated;;;;;Super Bowl;Super Bowl;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Super Bowl.;Super Bowl.;It's called the Super Bowl.;;;0;0.0;0.0;0.6890935301780701;0.6890935301780701;0.5764763951301575;0.5764763951301575;0.88322777;0.4741815;;0.0;0.0;0.7055718302726746;0.6920121908187866;0.6920121908187866;0.7055718302726746;1.0;1.0;0.641869068145752
852;852;852;What is rugby?;;;GPT-4 generated;;;;;A rough sport played with an oval ball.;A rough and tumble sport.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;A physical team sport with an oval ball.;Rugby is a physical team sport.;Rugby is a physical team sport similar to American football, played with an oval ball and involving lots of running, tackling, and scoring tries.;;;0;0.0;0.0;0.5393289923667908;0.5393289923667908;0.5660090446472168;0.5660090446472168;0.93089235;0.7786364;;0.0;0.0;0.5995446443557739;0.5496765375137329;0.5496765375137329;0.5995446443557739;0.5988690257072449;0.6332285404205322;0.7675524353981018
853;853;853;What is the most prestigious golf tournament?;;;GPT-4 generated;;;;;The Masters.;The Open Championship.;Society & Relationships;;Ordinal Scale;Society, Culture, and Relationships;The Masters.;The Masters Tournament.;The most prestigious golf tournament is generally considered to be the Masters Tournament.;;;0;0.0;0.0;0.6215987205505371;0.6215987205505371;0.3031912446022033;0.3031912446022033;0.86265945;0.37208533;;0.0;0.0;0.4989946484565735;0.6148475408554077;0.6148475408554077;0.4989946484565735;1.0;0.6098299026489258;1.0
854;854;854;What's a common children's sport?;;;GPT-4 generated;;;;;Baseball.;Football.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Baseball.;Football.;A common children's sport is soccer.;;;0;0.0;0.0;0.3911911249160766;0.3911911249160766;0.5491201877593994;0.5491201877593994;0.79519033;0.6921206;;0.0;0.0;0.5895240902900696;0.4635371565818786;0.4635371565818786;0.5895240902900696;1.0;1.0;0.7811959981918335
855;855;855;What's a hat-trick?;;;GPT-4 generated;;;;;Three goals in one game.;Three goals in a row, mate.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;A hat-trick is scoring three goals.;Three goals scored by one player.;A hat-trick is when a player in sports scores three goals or takes three wickets in a single game or match.;;;0;0.0;0.0;0.7149543762207031;0.7149543762207031;0.6469845175743103;0.6469845175743103;0.9615439;0.83587253;;0.0;0.0;0.5441635251045227;0.60943603515625;0.60943603515625;0.5441635251045227;0.6308297514915466;0.6862903237342834;0.8455635905265808
