;Unnamed: 0;question;selections;options;options_formatted;source;value_us;value_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_uk_option_match;model_answer_us_option_match;#_options;score_uk;score_us;overall_score_uk;similarity_score_uk;similarity_score_us;overall_score_us;similarity_model_answers_uk_us;similarity_ground_truth_answers_uk_us;options_dict;score_ground_truth_answers;value_diff;question_type;gpt4_uk_score;gpt4_us_score;gpt4_usGT_ukGT_score;gpt4_ukGT_usMA_score;gpt4_usGT_ukMA_score;gpt4_usMA_ukMA_score;gpt4_us_score_normed;gpt4_uk_score_normed;gpt4_ukGT_usMA_normed;gpt4_usGT_ukMA_normed;gpt4_usGT_ukGT_normed;gpt4_usMA_ukMA_score_normed
825;825;What's the national sport?;{};;;GPT-4 generated;0,000001;0,000001;Football (American);Football.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Baseball is the national sport.;Football.;;;0.0;0.0;0.0;1.0;1.0;0.5813660025596619;0.5813660025596619;0.5980818271636963;1.0;;0.0;1.0;Free-text;5.0;1.0;5.0;1.0;5.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
826;826;What's the most popular weekend sport activity?;{};;;GPT-4 generated;0,000001;0,000001;Football, baseball, basketball, hiking, biking.;Football.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Soccer is the most popular activity.;Football.;;;0.0;0.0;0.0;1.0;1.0;0.6050251722335815;0.6050251722335815;0.5533774495124817;1.0;;0.0;1.0;Multiple Choice;5.0;1.0;4.0;2.0;2.0;1.0;0.0;1.0;0.250001;0.250001;0.750001;0.0
827;827;What do you call a game with a bat and ball where you run between wickets?;{};;;GPT-4 generated;0,000001;0,000001;Cricket.;Cricket.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Cricket.;Cricket.;;;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;Free-text;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
828;828;What is 'March Madness'?;{};;;GPT-4 generated;0,000001;0,000001;College basketball tournament in March.;American college basketball tournament in March.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;College basketball tournament in the US.;Basketball tournament in the United States.;;;0.0;0.0;0.0;0.7530190348625183;0.7530190348625183;0.8385217189788818;0.8385217189788818;0.9182983040809632;0.9582775831222534;;0.0;1.0;Free-text;4.0;4.5;5.0;5.0;4.0;5.0;0.875001;0.750001;1.0;0.750001;1.0;1.0
829;829;What's the Premier League?;{};;;GPT-4 generated;0,000001;0,000001;English soccer league with top teams.;Top-tier English football league.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;English soccer league with top teams.;Top-tier English football league.;;;0.0;0.0;0.0;1.0000001192092896;1.0000001192092896;0.9999998211860656;0.9999998211860656;0.7788649797439575;0.7788649797439575;;0.0;1.0;Free-text;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
830;830;What do you call the championship game of American football?;{};;;GPT-4 generated;0,000001;0,000001;Super Bowl;Super Bowl;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Super Bowl.;Super Bowl.;;;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;Free-text;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
831;831;What is rugby?;{};;;GPT-4 generated;0,000001;0,000001;A rough sport played with an oval ball.;A rough and tumble sport.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;A physical team sport with an oval ball.;Rugby is a physical team sport.;;;0.0;0.0;0.0;0.7851992249488831;0.7851992249488831;0.9292017221450806;0.9292017221450806;0.7669811248779297;0.7649688124656677;;0.0;1.0;Free-text;3.0;5.0;4.0;4.0;4.0;4.5;1.0;0.500001;0.750001;0.750001;0.750001;0.875001
832;832;What is the most prestigious golf tournament?;{};;;GPT-4 generated;0,000001;0,000001;The Masters.;The Open Championship.;Society & Relationships;;Ordinal Scale;Society, Culture, and Relationships;The Masters.;The Masters Tournament.;;;0.0;0.0;0.0;0.8685888648033142;0.8685888648033142;1.0;1.0;1.0;1.0;;0.0;1.0;Multiple Choice;4.0;5.0;5.0;4.5;5.0;5.0;1.0;0.750001;0.875001;1.0;1.0;1.0
833;833;What's a common children's sport?;{};;;GPT-4 generated;0,000001;0,000001;Baseball.;Football.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Baseball.;Football.;;;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.8350265026092529;0.8350265026092529;;0.0;1.0;Multiple Choice;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
834;834;What's a hat-trick?;{};;;GPT-4 generated;0,000001;0,000001;Three goals in one game.;Three goals in a row, mate.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;A hat-trick is scoring three goals.;Three goals scored by one player.;;;0.0;0.0;0.0;0.7389370203018188;0.7389370203018188;0.7360928058624268;0.7360928058624268;0.6406973600387573;0.8015226721763611;;0.0;1.0;Free-text;3.0;5.0;4.0;5.0;4.5;5.0;1.0;0.500001;1.0;0.875001;0.750001;1.0
835;835;What's a typical sports drink?;{};;;GPT-4 generated;0,000001;0,000001;Gatorade.;Isotonic electrolyte beverage, like Lucozade Sport.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Gatorade or Powerade.;Energy drink with electrolytes and carbohydrates.;;;0.0;0.0;0.0;0.5987331867218018;0.5987331867218018;1.0;1.0;0.6771169304847717;0.7627952098846436;;0.0;1.0;Free-text;4.5;4.0;4.0;4.0;4.0;3.0;0.750001;0.875001;0.750001;0.750001;0.750001;0.500001
836;836;What do you call athletic footwear?;{};;;GPT-4 generated;0,000001;0,000001;Sneakers or tennis shoes.;Trainers.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Sneakers or tennis shoes.;Trainers or sports shoes.;;;0.0;0.0;0.0;1.0;1.0;0.9999998807907104;0.9999998807907104;0.8165577054023743;0.5247412323951721;;0.0;1.0;Free-text;4.5;5.0;4.5;5.0;5.0;5.0;1.0;0.875001;1.0;1.0;0.875001;1.0
837;837;What's an important tennis tournament?;{};;;GPT-4 generated;0,000001;0,000001;Wimbledon.;Wimbledon.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;US Open.;Wimbledon.;;;0.0;0.0;0.0;1.0;1.0;0.7635689973831177;0.7635689973831177;0.8093313574790955;1.0;;1.0;1.0;Free-text;5.0;2.0;5.0;1.0;5.0;4.0;0.250001;1.0;0.0;1.0;1.0;0.750001
838;838;What's a pick-up game?;{};;;GPT-4 generated;0,000001;0,000001;Informal sports game played spontaneously.;Informal sports match played spontaneously.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Informal sports game organized spontaneously.;Informal sports game played spontaneously.;;;0.0;0.0;0.0;0.9713400602340698;0.9713400602340698;0.9584131240844728;0.9584131240844728;0.9584131240844728;0.9713400602340698;;0.0;1.0;Free-text;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
839;839;What do you call it when a player scores three goals in hockey?;{};;;GPT-4 generated;0,000001;0,000001;Hat trick.;A hat trick, mate.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;Hat trick.;Hat trick.;;;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;;0.0;1.0;Multiple Choice;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
840;840;What's the name of the lower house of parliament?;{};;;GPT-4 generated;0,000001;0,000001;House of Representatives.;House of Commons.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;House of Representatives.;House of Commons.;;;0.0;0.0;0.0;1.0;1.0;1.0000001192092896;1.0000001192092896;0.9195488095283508;0.9195488095283508;;0.0;1.0;Free-text;5.0;5.0;4.0;4.0;4.0;4.0;1.0;1.0;0.750001;0.750001;0.750001;0.750001
841;841;What's the name of the upper house of parliament?;{};;;GPT-4 generated;0,000001;0,000001;Senate.;House of Lords.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Senate.;House of Lords.;;;0.0;0.0;0.0;0.9999994039535522;0.9999994039535522;1.0;1.0;0.8222602009773254;0.8222602009773254;;0.0;1.0;Free-text;5.0;5.0;4.0;4.0;3.0;3.0;1.0;1.0;0.750001;0.500001;0.750001;0.500001
842;842;What do you call the leader of the main opposition party?;{};;;GPT-4 generated;0,000001;0,000001;"The leader of the main opposition party is called the ""opposition party leader.""";"The leader of the main opposition party is called the ""Opposition Leader.""";Education & Knowledge;;Binary Choice;Media, Technology, and Education;Leader of the main opposition party: Opposition party leader.;Leader of the main opposition party: Shadow Prime Minister.;;;0.0;0.0;0.0;0.672448992729187;0.672448992729187;0.751196026802063;0.751196026802063;0.7277737855911255;0.94598650932312;;0.0;1.0;Free-text;4.5;5.0;5.0;5.0;4.0;3.5;1.0;0.875001;1.0;0.750001;1.0;0.625001
843;843;What do you call a member of parliament?;{};;;GPT-4 generated;0,000001;0,000001;Congressperson or lawmaker.;MP;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Congressman or Member of Parliament.;MP;;;0.0;0.0;0.0;1.0;1.0;0.8734750747680664;0.8734750747680664;0.2970475554466247;0.2801242768764496;;0.0;1.0;Free-text;5.0;4.5;1.0;1.0;4.0;5.0;0.875001;1.0;0.0;0.750001;0.0;1.0
844;844;What's the voting age?;{};;;GPT-4 generated;0,000001;0,000001;18 years old.;18 years old, old chap!;Education & Knowledge;;Numerical Scale;Media, Technology, and Education;18 years old.;18 years old.;;;0.0;0.0;0.0;0.6792640089988708;0.6792640089988708;1.0000001192092896;1.0000001192092896;1.0000001192092896;0.9086365699768066;;0.0;1.0;Free-text;4.5;5.0;4.5;4.5;5.0;5.0;1.0;0.875001;0.875001;1.0;0.875001;1.0
845;845;How often are general elections held?;{};;;GPT-4 generated;0,000001;0,000001;Every four years.;Every five years, sometimes sooner.;Education & Knowledge;;Ordinal Scale;Media, Technology, and Education;Every four years.;In the UK, general elections are held every five years.;;;0.0;0.0;0.0;0.6827588081359863;0.6827588081359863;1.0;1.0;0.8515055179595947;0.9202106595039368;;0.0;1.0;Multiple Choice;1.0;5.0;4.0;4.5;2.0;2.0;1.0;0.0;0.875001;0.250001;0.750001;0.250001
846;846;What's the highest court in the land?;{};;;GPT-4 generated;0,000001;0,000001;Supreme Court.;The Supreme Court of the UK.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;The Supreme Court of the United States.;Supreme Court.;;;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;;0.0;1.0;Free-text;4.5;4.5;5.0;3.5;5.0;4.5;0.875001;0.875001;0.625001;1.0;1.0;0.875001
847;847;What do you call a law before it is passed?;{};;;GPT-4 generated;0,000001;0,000001;A bill.;A bill.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Bill.;Bill.;;;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;Free-text;5.0;4.5;5.0;5.0;5.0;5.0;0.875001;1.0;1.0;1.0;1.0;1.0
848;848;What's the symbol of the main conservative party?;{};;;GPT-4 generated;0,000001;0,000001;Elephant.;The Union Jack.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Elephant.;The symbol is a torch.;;;0.0;0.0;0.0;0.6752276420593262;0.6752276420593262;1.0;1.0;0.6766129732131958;0.7221207618713379;;0.0;1.0;Free-text;1.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
849;849;What's the symbol of the main liberal party?;{};;;GPT-4 generated;0,000001;0,000001;Donkey.;The Liberal Democrats - Yellow Bird.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Democratic donkey.;UK: Liberal Democrats - Yellow Bird.;;;0.0;0.0;0.0;0.9102026224136353;0.9102026224136353;1.0;1.0;0.718248188495636;0.728535532951355;;0.0;1.0;Multiple Choice;5.0;4.0;1.0;1.0;1.0;1.0;0.750001;1.0;0.0;0.0;0.0;0.0
850;850;What is the capital?;{};;;GPT-4 generated;0,000001;0,000001;Washington, D.C.;London.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Washington, D.C.;London.;;;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.6358740925788879;0.6358740925788879;;0.0;1.0;Free-text;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
851;851;What's a lobbyist?;{};;;GPT-4 generated;0,000001;0,000001;Someone who influences government decisions.;Influence peddler seeking political favors.;Education & Knowledge;;Multiple Choice;Media, Technology, and Education;Influencer who advocates for interests.;A lobbyist is someone who influences policymakers.;;;0.0;0.0;0.0;0.642909824848175;0.642909824848175;0.7006757259368896;0.7006757259368896;0.6886433959007263;0.7034139633178711;;0.0;1.0;Free-text;4.0;3.5;4.0;3.5;5.0;4.0;0.625001;0.750001;0.625001;1.0;0.750001;0.750001
