;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0;question;selections;options;options_formatted;source;value_us;value_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_uk_option_match;model_answer_us_option_match;#_options;options_dict;score_ground_truth_answers;value_diff;question_type;ukGT_usGT_score;ukMA_usGT_score;ukGT_usMA_score;ukMA_usMA_score;us_score;uk_score;gpt4_uk_score;gpt4_us_score;gpt4_usGT_ukGT_score;gpt4_ukGT_usMA_score;gpt4_usGT_ukMA_score;gpt4_usMA_ukMA_score;gpt4_us_score_normed;gpt4_uk_score_normed;gpt4_ukGT_usMA_normed;gpt4_usGT_ukMA_normed;gpt4_usGT_ukGT_normed;gpt4_usMA_ukMA_score_normed
0;1525;1525;1525;1525;1525;What is the national animal of my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Bald eagle.;Lion.;General Knowledge Trivia;;Quiz question;Media, Technology, and Education;Bald eagle.;The Lion.;;;0.0;;0.0;1.0;Free-text;0.0;0.0;0.0;0.0;1.0;1.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0
1;1526;1526;1526;1526;1526;What is the name of the patron saint of my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;No patron saint.;St. George.;General Knowledge Trivia;;Quiz question;Media, Technology, and Education;St. Patrick.;Saint George;;;0.0;;0.0;1.0;Free-text;0.250001;0.250001;0.0;0.0;0.250001;1.0;5.0;2.0;2.0;2.0;1.0;1.0;0.250001;1.0;0.250001;0.0;0.250001;0.0
2;1527;1527;1527;1527;1527;What are the colors typically found on my country's flag?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Red, white, and blue.;Red, white, and blue.;General Knowledge Trivia;;Quiz question;Media, Technology, and Education;Red, white, blue.;Red, white and blue.;;;0.0;;1.0;1.0;Multiple Choice;1.0;1.0;1.0;1.0;1.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
3;1528;1528;1528;1528;1528;What is the population of my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;328 million.;Around 67 million people.;General Knowledge Trivia;;Quiz question;Media, Technology, and Education;Approximately 330 million.;Around 66 million people.;;;0.0;;0.0;1.0;Free-text;0.250001;1.0;0.750001;0.0;1.0;0.875001;5.0;4.5;2.0;4.0;2.0;2.0;0.875001;1.0;0.750001;0.250001;0.250001;0.250001
4;1529;1529;1529;1529;1529;How many land borders does my country have? With which neighboring countries?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Two. Canada, Mexico.;Two. Ireland, Scotland.;General Knowledge Trivia;;Quiz question;Media, Technology, and Education;USA, 2 borders: Canada, Mexico.;"Six; Scotland, Wales, Ireland.";;;0.0;;0.0;1.0;Free-text;1.0;0.0;0.0;0.500001;0.750001;0.0;4.5;2.0;5.0;1.0;1.0;1.0;0.250001;0.875001;0.0;0.0;1.0;0.0
5;1530;1530;1530;1530;1530;What was the previous capital city of my country before its current capital?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;New York City.;Edinburgh, Scotland.;General Knowledge Trivia;;Quiz question;Media, Technology, and Education;London, United Kingdom.;Winchester;;;0.0;;0.0;1.0;Free-text;0.0;0.0;0.0;0.250001;0.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.250001
6;1531;1531;1531;1531;1531;Who is the current monarch of my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;There is no monarch.;Queen Elizabeth II.;General Knowledge Trivia;;Quiz question;Media, Technology, and Education;Queen Elizabeth II.;Queen Elizabeth II;;;0.0;;0.0;1.0;Free-text;0.0;0.0;1.0;1.0;0.0;1.0;5.0;1.0;1.0;5.0;1.0;5.0;0.0;1.0;1.0;0.0;0.0;1.0
7;1532;1532;1532;1532;1532;When is the national day of my country typically celebrated?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;July 4th.;St. George's Day, April 23rd.;General Knowledge Trivia;;Quiz question;Media, Technology, and Education;July 4th.;April 23rd, Saint George's;;;0.0;;0.0;1.0;Free-text;0.0;0.0;0.0;0.0;0.500001;1.0;5.0;5.0;1.0;1.0;2.0;1.0;1.0;1.0;0.0;0.250001;0.0;0.0
8;1533;1533;1533;1533;1533;Which anthem is typically used when my country is represented at sporting events?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;"""The Star-Spangled Banner.""";"""God Save the Queen.""";General Knowledge Trivia;;Quiz question;Media, Technology, and Education;"""Star-Spangled Banner.""";"""God Save the Queen.""";;;0.0;;0.0;1.0;Multiple Choice;0.0;0.0;0.0;0.0;1.0;1.0;5.0;5.0;1.0;1.0;2.0;2.5;1.0;1.0;0.0;0.250001;0.0;0.375001
9;1534;1534;1534;1534;1534;How many administrative divisions are there in my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;50 states, 1 federal district.;Four.;General Knowledge Trivia;;Quiz question;Media, Technology, and Education;50 states.;4 countries.;;;0.0;;0.0;1.0;Numerical Scale;0.0;0.0;0.0;0.0;0.875001;0.875001;2.0;4.5;1.0;1.0;1.0;1.0;0.875001;0.250001;0.0;0.0;0.0;0.0
